Charge Type,Charge Group,Charge Category ,Charge Code,Charge Name,Base Rate,QATARI,GCC,Resident,SHC-GCC,RHC-GCC,SHC,RHC,Visitor,Servant,Handicap,Baby
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001509,Nitisinone 5mg CAP,80,0,0,16,8,8,8,8,108,16,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001510,N-Carbamylglutamate 200 mg TAB,340.566,0,0,68.113,34.057,34.057,34.057,34.057,459.764,68.113,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001511,Nitisi 2mg CAP,79.083,0,0,15.817,7.908,7.908,7.908,7.908,106.762,15.817,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001512,Phenylbutyrate Sodium Powder,13.395,0,0,2.679,1.339,1.339,1.339,1.339,18.083,2.679,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001514,Folic Acid 5 mg/mL (10 mL) INJ,348.137,0,0,69.627,34.814,34.814,34.814,34.814,469.985,69.627,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001515,Sodium Phenylbutyrate 200mg/mL (10mL) INJ,82.417,0,0,16.483,8.242,8.242,8.242,8.242,111.263,16.483,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001516,LevOCARNitine  200mg/mL (5mL) INJ,2.536,0,0,2,0.254,0.254,0.254,0.254,3.424,0.507,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001517,Arginine 100 mg/mL (300 mL) INJ,182.51,0,0,36.502,18.251,18.251,18.251,18.251,246.389,36.502,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001518,Biotin 10mg TAB,0.202,0,0,2,0.02,0.02,0.02,0.02,0.273,0.041,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001521,Eye Lubricant (polyethylene glycoL 400/propylene glycoL) Eye Drops Minims,43.85,0,0,8.77,4.385,4.385,4.385,4.385,59.198,8.77,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001522,Vitamin B12 (Hydroxocobalamin) 1 mg/1 mL INJ,4.4,0,0,2,0.44,0.44,0.44,0.44,5.94,0.88,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001524,Drotrecogin alfa (activated Protein C) 20 mg INJ,0,0,0,2,0,0,0,0,0,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001525,Sodium Benzoate 20% (200mg/mL) (10 mL) INJ,49.149,0,0,9.83,4.915,4.915,4.915,4.915,66.352,9.83,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001526,Benzocain Lozenges (ANAESTHSIN ),0.608,0,0,2,0.061,0.061,0.061,0.061,0.821,0.122,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001527,Hydroxypropyl Guar/Boric Acid/Propylethylene Glycol Eye DROPS,20.463,0,0,4.093,2.046,2.046,2.046,2.046,27.625,4.093,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001528,Eye Lubricant (Hypotears) (10 gm) Eye gel,5.984,0,0,2,0.598,0.598,0.598,0.598,8.078,1.197,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001529,Lomefloxacin 0.3% (5mL) Eye Drops,2.821,0,0,2,0.282,0.282,0.282,0.282,3.808,0.564,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001530,Olopatadine 0.1% (5mL) Eye Drop,10.95,0,0,2.19,1.095,1.095,1.095,1.095,14.783,2.19,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001531,Travaprost 0.004% (2.5mL) Eye DROP,34.419,0,0,6.884,3.442,3.442,3.442,3.442,46.466,6.884,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001533,"TAFLUPROST 15 MCG/ 1ML, 30s PRESERVATIVE FREE EYE DROP",54.75,0,0,10.95,5.475,5.475,5.475,5.475,73.913,10.95,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001535,Movicol (PEG AND lytes) Bowel Prep (13.8gm) Sachet,0.648,0,0,2,0.065,0.065,0.065,0.065,0.875,0.13,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001536,"ZZ-OFLOXACIN 0.3% EYE DROPS ,5ML",7.257,0,0,2,0.726,0.726,0.726,0.726,9.796,1.451,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001538,Betaine Anhydrous (180 gm) Powder,2028.294,0,0,405.659,202.829,202.829,202.829,202.829,2738.197,405.659,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001542,Nitisi 10mg CAP,147.301,0,0,29.46,14.73,14.73,14.73,14.73,198.857,29.46,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001545,Polyethylene Glycol (6.9 gm) PED SAC,0.453,0,0,2,0.045,0.045,0.045,0.045,0.612,0.091,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001546,Glycerol Phenylbutyrate 1.1gm/mL (25 mL) SOL,1117.846,0,0,223.569,111.785,111.785,111.785,111.785,1509.092,223.569,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001547,L-Carnitine/Zinc Gluconate 1000mg/50mg TAB,0.332,0,0,2,0.033,0.033,0.033,0.033,0.449,0.066,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001548,Nitisinone 20mg CAP,303.27,0,0,60.654,30.327,30.327,30.327,30.327,409.415,60.654,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001549,Nitisinone 4mg/mL (90 mL) SUSP,10914.1,0,0,2182.82,1091.41,1091.41,1091.41,1091.41,14734.035,2182.82,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001551,Fomepizole 1 gm/mL (1.5 mL) INJ,1994.7,0,0,398.94,199.47,199.47,199.47,199.47,2692.845,398.94,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001552,Vitamin B12a (hydroxocobalamin) 5 gm INJ,3100,0,0,620,310,310,310,310,4185,620,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Chronic,8900001800,"Asparaginase 10,000 units INJ",334.72,0,0,33.472,33.472,33.472,33.472,33.472,451.872,33.472,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001801,Aluminum Hydroxide 400mg CAP,0.397,0,0,2,0.04,0.04,0.04,0.04,0.537,0.079,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001802,Acetylcysteine 600mg Effervescent TAB,0.647,0,0,2,0.065,0.065,0.065,0.065,0.874,0.129,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001803,Alteplase 1 mg/mL (50 mL) INJ,1525.718,0,0,305.144,152.572,152.572,152.572,152.572,2059.719,305.144,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001804,tenecteplase 50mg Inj,2293.935,0,0,458.787,229.394,229.394,229.394,229.394,3096.812,458.787,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001805,reteplase 560mg Inj,573.747,0,0,114.749,57.375,57.375,57.375,57.375,774.558,114.749,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001806,Asparaginase (Pegylated) 750 units/mL (5 mL) INJ,1800,0,0,360,180,180,180,180,2430,360,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001811,Alendronate/Cholecalciferol 70mg/5600units TAB,24.01,0,0,4.802,2.401,2.401,2.401,2.401,32.414,4.802,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001813,Almitrine/Raubasine 30mg/10mg TAB,0.803,0,0,2,0.08,0.08,0.08,0.08,1.084,0.161,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001815,Albendazole 200 mg TAB,0.396,0,0,2,0.04,0.04,0.04,0.04,0.535,0.079,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001816,Alcohol Absolute (5 mL)  Nerve Block INJ,850,0,0,170,85,85,85,85,1147.5,170,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001817,Amifostine 50 mg/mL (10 mL) INJ,0,0,0,2,0,0,0,0,0,0,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001818,Albendazole 400 mg TAB,0.455,0,0,2,0.045,0.045,0.045,0.045,0.614,0.091,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001819,Diethylcarbamazine 100mg Tab,2.463,0,0,2,0.246,0.246,0.246,0.246,3.326,0.493,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001820,Galantamine 4 mg TAB,1.066,0,0,2,0.107,0.107,0.107,0.107,1.44,0.213,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001821,Galantamine 8mg TAB,1.472,0,0,2,0.147,0.147,0.147,0.147,1.987,0.294,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001822,Cis-Atracurium 2 mg/mL (10 mL) INJ,13.924,0,0,2.785,1.392,1.392,1.392,1.392,18.797,2.785,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001824,Atracurium besylate 10 mg/mL (5 mL) INJ,7.842,0,0,2,0.784,0.784,0.784,0.784,10.586,1.568,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001825,Acetylcholine 1% 10mg/mL (2mL) Intraocular,133.013,0,0,26.603,13.301,13.301,13.301,13.301,179.568,26.603,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001826,ALPRAZolam 0.25mg TAB,0.23,0,0,2,0.023,0.023,0.023,0.023,0.311,0.046,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001827,Cisatracurium 2 mg/mL (5mL) INJ,16.751,0,0,3.35,1.675,1.675,1.675,1.675,22.614,3.35,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001828,Alprostadil 500 mcg/mL (1 mL) INJ,54.898,0,0,10.98,5.49,5.49,5.49,5.49,74.112,10.98,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001829,Mivacurium 2 mg/mL (5 mL) INJ,15.951,0,0,3.19,1.595,1.595,1.595,1.595,21.533,3.19,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001831,Memantine 10 mg TAB,4.017,0,0,2,0.402,0.402,0.402,0.402,5.424,0.804,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001832,Galantamine 8 mg CAP,9.142,0,0,2,0.914,0.914,0.914,0.914,12.342,1.828,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001833,Galantamine 16 mg CAP,13.162,0,0,2.632,1.316,1.316,1.316,1.316,17.769,2.632,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001834,Aminocaproic acid 250 mg/mL (20 mL) INJ,19.453,0,0,3.891,1.945,1.945,1.945,1.945,26.261,3.891,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001835,Rivastigmine Transdermal Patch 4.6 mg /24 hours,11.97,0,0,2.394,1.197,1.197,1.197,1.197,16.159,2.394,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001836,Rivastigmine Transdermal Patch 9.5 mg /24 hours,10.579,0,0,2.116,1.058,1.058,1.058,1.058,14.282,2.116,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001837,Teriparatide 250mcg/ mL ( 2.4 mL) PEN,1672.977,0,0,334.595,167.298,167.298,167.298,167.298,2258.519,334.595,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001838,Rivastigmine Transdermal Patch 13.3 mg /24 hours,15.47,0,0,3.094,1.547,1.547,1.547,1.547,20.884,3.094,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001844,Ampicillin 100 mg/mL (10 mL) INJ,1.804,0,0,2,0.18,0.18,0.18,0.18,2.435,0.361,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001846,Amoxicillin 500mg CAP,0.144,0,0,2,0.014,0.014,0.014,0.014,0.194,0.029,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001864,"Aprotinin 10,000 KIU (1.4 mg)/mL injection (50 mL)",729.059,0,0,145.812,72.906,72.906,72.906,72.906,984.229,145.812,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001867,Vasopressin 20 units/mL (1 mL) INJ,129.526,0,0,25.905,12.953,12.953,12.953,12.953,174.86,25.905,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001890,Zidovudine 100mg CAP,12.809,0,0,2.562,1.281,1.281,1.281,1.281,17.292,2.562,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001996,Aspirin 300mg SUPP,20.699,0,0,4.14,2.07,2.07,2.07,2.07,27.944,4.14,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001998,Aspirin 75 mg SOLUBLE TAB,0.079,0,0,2,0.008,0.008,0.008,0.008,0.107,0.016,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900001999,Amethocaine 0.5% Eye Drops Minims,2.82,0,0,2,0.282,0.282,0.282,0.282,3.806,0.564,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002000,Aspirin (enteric coated) 100mg TAB,0.183,0,0,2,0.018,0.018,0.018,0.018,0.247,0.037,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002001,Aspirin 100mg TAB,0.079,0,0,2,0.008,0.008,0.008,0.008,0.107,0.016,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002002,Aspirin 300mg TAB,0.401,0,0,2,0.04,0.04,0.04,0.04,0.542,0.08,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002004,Aspirin (enteric coated) 300mg TAB,0.281,0,0,2,0.028,0.028,0.028,0.028,0.38,0.056,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Chronic,8900002005,Acyclovir 200mg TAB,0.415,0,0,0.041,0.041,0.041,0.041,0.041,0.56,0.041,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002006,Acebutolol 100mg TAB,1.68,0,0,2,0.168,0.168,0.168,0.168,2.267,0.336,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002008,AcetaZOLAMIDE 250mg TAB,0.148,0,0,2,0.015,0.015,0.015,0.015,0.2,0.03,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002009,Acyclovir 250 mg INJ,7.509,0,0,2,0.751,0.751,0.751,0.751,10.137,1.502,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002010,AcetaZOLAMIDE 100 mg/mL (5 mL) INJ,78.447,0,0,15.689,7.845,7.845,7.845,7.845,105.903,15.689,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002011,Acyclovir 40mg/mL (125 mL) SUSP,29.08,0,0,5.816,2.908,2.908,2.908,2.908,39.258,5.816,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002012,Acyclovir 5% (10g) CRM,2.192,0,0,2,0.219,0.219,0.219,0.219,2.959,0.438,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002013,Aluminum Hydroxide/Magnesium Trisilicate 500,0.32,0,0,2,0.032,0.032,0.032,0.032,0.432,0.064,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002014,Allopurinol 100mg TAB,0.06,0,0,2,0.006,0.006,0.006,0.006,0.081,0.012,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002015,Amoxicillin/Clavulanate 1000 mg/200 mg INJ,5.571,0,0,2,0.557,0.557,0.557,0.557,7.52,1.114,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002016,Cidofovir 75 mg/mL (5 mL) INJ,1710.959,0,0,342.192,171.096,171.096,171.096,171.096,2309.795,342.192,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002018,Amantadine 100mg CAP,0.585,0,0,2,0.059,0.059,0.059,0.059,0.79,0.117,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002019,Amiloride 5mg Tab,1.254,0,0,2,0.125,0.125,0.125,0.125,1.693,0.251,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002020,Amiloride-Hydrochlorothiazide 5mg-50mg TAB,0.19,0,0,2,0.019,0.019,0.019,0.019,0.256,0.038,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002021,Aminophylline 25 mg/mL (10 mL) INJ,3.633,0,0,2,0.363,0.363,0.363,0.363,4.905,0.727,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002023,Aminophylline 100mg  TAB,2.11,0,0,2,0.211,0.211,0.211,0.211,2.848,0.422,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002024,Amiodarone 50 mg/mL (3 mL) INJ,2.597,0,0,2,0.26,0.26,0.26,0.26,3.507,0.52,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,Chronic,8900002026,Amiodarone 200mg TAB,0.639,0,0,0.064,0.064,0.064,0.064,0.064,0.863,0.064,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002027,Amitriptyline / Chlordiazepoxide 12.5mg / 5mg TAB,1.183,0,0,2,0.118,0.118,0.118,0.118,1.597,0.237,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002028,Amitriptyline 10mg TAB,0.148,0,0,2,0.015,0.015,0.015,0.015,0.2,0.03,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002029,Amitriptyline 25mg TAB,0.208,0,0,2,0.021,0.021,0.021,0.021,0.28,0.042,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002031,AmLODIPine Besylate 5 mg CAP,1.496,0,0,2,0.15,0.15,0.15,0.15,2.019,0.299,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002032,Amaranth 100 g,5.831,0,0,2,0.583,0.583,0.583,0.583,7.872,1.166,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002033,Amoxicillin 250mg CAP,0.073,0,0,2,0.007,0.007,0.007,0.007,0.099,0.015,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002034,Felodipine 5mg (sustained release) TAB,0.355,0,0,2,0.036,0.036,0.036,0.036,0.479,0.071,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002035,Ampicillin 250 mg INJ,5.204,0,0,2,0.52,0.52,0.52,0.52,7.025,1.041,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002036,Ampicillin 100 mg/mL (5 mL) INJ,1.395,0,0,2,0.139,0.139,0.139,0.139,1.883,0.279,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002038,Amoxicillin/Clavulanate 50 mg/12.5mg/mL (20 mL) SUSP,16.79,0,0,3.358,1.679,1.679,1.679,1.679,22.667,3.358,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002039,Amoxicillin/Clavulanate 500mg/125mg TAB,0.338,0,0,2,0.034,0.034,0.034,0.034,0.457,0.068,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002040,Milri 1 mg/mL (10 mL) INJ,89.763,0,0,17.953,8.976,8.976,8.976,8.976,121.18,17.953,0,0
Pharmaceticals and Supplies,PHARMACEUTICAL SUPPLIES,PHARMACEUTICAL SUPPLIES,8900002041,Atenolol 50mg TAB,0.379,0,0,2,0.038,0.038,0.038,0.038,0.512,0.076,0,0
